,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dominica,19.64,17.63,12.7,8.91,19.59,25,43.13,14.56,19.35,9.93,15.28,19.69,29.6,10.97,29.4,21.11,19.66,19.45,21.38,35.95,32.45,24.44,25.68,20.08,16.29,11.71,8.5
Dominican Republic,101.66,67.72,65.58,-1.26,61.87,119.96,100.11,71.61,118.31,189.83,56.19,106.98,144.96,68.79,84.56,76.06,54.41,124.22,157.07,120.15,176.58,224.74,260.12,146.91,166.21,279.96,176.71
East African Community,..,..,-0.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,159.32,237.47,239.78,234.94,210.9,224.3,251.63,153.46,176.45,148.98,147.21,176.8,223.49,181.85,159.96,232.48,190.68,213.96,229.16,202.47,150.95,164.56,148.06,150.52,165.05,318.16,243.49
Egypt,6065.2,5408.84,3737.7,2485.23,2692.2,2028.07,2193.9,2009.46,1974.14,1620.25,1370.83,1300.39,1308.73,1017.18,1502.84,1046.31,909.03,1138.69,1688.53,982.74,599.16,423.73,1813.43,5512.51,3537.6,2499.43,2130.29
El Salvador,347.3,294.92,403.72,399.46,305.12,295.96,300.77,278.71,181.38,183.5,179.94,237.4,233.4,192.22,216.27,199.17,158.7,89.21,234.49,273.47,281.57,277.85,219.91,169.14,98.07,89.7,129.2
Equatorial Guinea,60.23,62.18,61.82,52.66,29.73,33.4,30.82,23.89,22.16,20.24,21.27,13.24,20.15,20.93,29.15,38.13,26.21,31.36,32.08,31.78,85.07,24.55,14.45,4.63,0.52,7.49,6.92
Eritrea,4.5,..,1,67.71,154.15,148.29,157.49,123.51,168.81,149.87,178.02,284.7,226.67,316.96,263.52,349.74,126.19,158.53,145.42,142.62,162.31,133.41,135.97,81.31,84.19,94.12,66.74
Ethiopia,1009.25,1091.87,1162.51,1081.22,1063.58,876.98,816.5,578.91,660.24,643.29,687.8,1103.6,1324.74,1621.16,1830.3,1929.12,2034.55,2606.55,3316.25,3823.76,3455.16,3495.89,3243.29,3885.54,3583.96,3233.71,4073.54
Fiji,49.58,44.81,63.42,61.22,40.61,44.4,46.79,44.51,36.89,35.2,29.37,26.18,34.17,51.25,65.53,66.08,55.8,50.88,45.25,66.71,75.84,75.39,105.37,91.22,94.24,102.48,108.74
Former Yugoslav Republic of Macedonia,..,..,..,3.32,104.26,78.8,105.39,98.28,104.91,276.94,250.85,247.64,273.86,266.11,264,227.4,200.85,201.83,202.8,194.22,194.31,192.29,147.71,196.73,211.92,214.32,168.36
French Polynesia,259.66,311.47,326.79,333.49,367.91,450.93,404.07,367.39,370.37,351.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,131.23,142.71,68.51,100.86,181.03,143.74,126.51,38.83,44.64,47.8,11.85,8.64,71.66,-10.92,40.04,50.3,31.21,53.21,64.12,77.95,106.27,69.45,68.85,87.21,111.27,98.78,41.5
Gambia,97.26,99.54,108.84,84.9,68.89,45.43,36.06,38.9,39.45,34.35,49.64,52.73,64.47,63.29,61.34,60.76,75.2,97.2,94.63,125.17,121.1,135.71,138.98,112.3,100.34,107.68,91.58
Georgia,..,0.21,20.35,104.78,177.32,209.06,309.37,242.03,208.67,246.84,171.95,294.13,317.21,228.67,314.21,293.34,357.19,381.93,887.98,906.16,627.14,587.42,659.19,646.31,563.76,448.93,462.74
Ghana,559.72,878.63,614.22,627.26,547.72,649.87,651.27,494.17,703.88,610.09,600.65,644.85,689.37,985.04,1419.01,1152.64,1236.25,1162.92,1312.17,1584.68,1697.22,1803.87,1799.29,1328.17,1123.13,1768.69,1315.99
Gibraltar,0.56,2.57,3.14,-0.01,0.57,0.21,-0.24,0.37,0.22,0.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,13.8,16.45,12.93,7.87,23.61,10.82,11.85,8.88,6.26,10.4,16.87,11.29,10.22,10.78,15.6,52.6,26.81,26.09,31.8,45.83,33.85,12.03,7.66,12.53,39.71,24.1,8.65
Guatemala,201.37,196.43,195.73,212.43,218.2,208.41,193.14,265.39,234.38,294.12,264.35,226.32,248.94,246.97,216.77,254.22,485.31,450.74,535.19,376.91,389.23,378.41,304.89,496.6,279.84,411.29,265.57
Guinea,291.58,377.52,447.28,410.28,358.23,415.92,298.06,381.39,359.57,237.83,153.41,289.25,254.19,250.63,274.81,192.91,173.12,257.61,351.22,217.66,220.97,202.12,633.36,467.54,563.12,538.04,561.42
Guinea-Bissau,126.35,112.82,107.3,94.53,174.36,117.6,180.77,124.53,96.01,52.6,81.07,60.69,59.88,145.37,77.85,66.76,88.2,125.57,135.69,149.4,129,120.64,80.32,105.63,110.25,95.04,199.07
Guyana,168.31,129.38,90.44,106.93,81.91,86.29,142.4,264.63,92.98,87.26,115.93,112.14,71.83,96.06,145.14,149.8,174.39,124.12,163.06,174.2,167.44,158.54,114.92,101.24,160.61,32.14,69.83
Haiti,167.39,177.29,100.98,120.65,599.84,722.22,367.31,324.97,407.17,263,208.01,170.33,155.77,212.52,298.8,425.81,581.48,716.92,927.31,1129.7,3073.47,1691.76,1273.35,1152.13,1082.36,1045.86,1074.27
Honduras,448.49,301.7,373.39,336.17,292.45,402.38,356.03,296.48,318.27,817.18,449.77,658.4,422.55,389.28,655.73,691.86,594.29,465.32,566.34,452.63,634.25,618.03,566.19,625.87,606.28,540.52,411.72
"Hong Kong, China",38.16,36.07,-39,30.27,26.87,17.73,13.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,1398.93,2736.23,2429.55,1470.46,2325.68,1737.71,1904.52,1646.37,1610.32,1490.76,1383.42,1729.61,1763.71,720.9,778.31,1875.96,1383.58,1329.21,2016.53,2481.02,2831.34,3270.22,1681.85,2456.34,2991.82,3174.35,2678.68
Indonesia,1715.86,1824.48,1969.23,1934.72,1549.86,1302.63,1080.52,814.52,1264.38,2132.62,1663.37,1468.96,1303.89,1775.36,135.25,2536.76,1318.46,854.33,1174.95,1046.12,1389.89,402.04,69.01,69.47,-381.94,-33.4,-112.06
Iran,106.45,193.4,105.7,140.48,130.04,186.94,164.5,200.76,164.56,161.49,129.87,114.56,114.54,131.05,188.65,100.67,117.24,103.77,100.47,92.57,112.44,105.79,151.79,131.61,81.17,110.9,116.19
Iraq,63.09,552.48,138.1,168.7,253.5,332.77,349.74,221.93,117.76,76.79,101.83,122.7,113.38,2287.65,4650.65,22057.09,8889.32,9204.34,9884.53,2791.23,2178.33,1914.69,1300.88,1541.54,1369.27,1482.94,2284.81
Israel,1371.89,1749.46,2065.77,1266.17,1237.18,335.59,2216.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jamaica,270.62,159.42,118.27,99.73,115.46,108.5,58.51,71.98,19.47,-22.35,8.7,54,24.02,6.16,82.81,39.77,37.19,28.08,85.88,149.97,139.38,39.39,28.06,71.59,95.99,59.07,26.84
Jordan,951.66,939.31,425.27,310.84,373.81,540.49,509.08,475.57,413.91,435.2,554.18,450.31,562.72,1321.22,604.63,709.85,573.57,631.51,734.09,740.42,954.75,974.1,1157.49,1400.33,2697.16,2151.85,2738.67
Kazakhstan,..,111.5,12.07,15.35,53.27,64.83,124.49,141.19,223.3,174.98,189.19,152.15,190.3,290.26,273.2,225.29,177.78,212.12,338.1,295.29,211.8,200.82,131.86,90.76,92.8,82.5,60.98
Kenya,1181.29,916.46,884.92,915.63,677.87,733.09,596.26,448.65,415.26,311.25,513.92,472.41,388.22,522.9,655.93,756.57,941.65,1329.36,1363.4,1782.48,1631.26,2478.82,2653.66,3306.84,2661.03,2464.18,2188.91
Kiribati,20.22,19.8,26.54,15.73,15.28,15.34,12.8,15.68,17.38,20.93,17.94,12.43,20.88,18.57,16.98,28.12,25.55,27.39,27.46,25.29,23.41,64.9,65.67,64.99,80.66,64.95,63.26
Korea,52,54.13,-3.1,-35.11,-114.23,57,-148.9,-159.65,-50.37,-55.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,782.13,527.52,583.18,566.74,568.55,579.39,437.81,370
Kuwait,12.86,11.76,6.53,2.03,4.47,4.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kyrgyzstan,..,..,21.08,95.01,173.5,284.67,230.45,239.59,239.49,283.17,214.71,187.72,185.72,200.02,261.13,267.48,311.05,281,357.28,312.91,383.92,523.33,470.49,539.45,626.57,769.99,515.25
Lao People's Democratic Republic,149.07,139.75,163.64,201.03,215.2,307.91,332.11,328.78,275.78,294.61,280.89,244.84,278.08,301.26,270.03,297.42,365.17,401.15,496.59,417.29,413.42,399.79,410.7,423.33,474.42,471.09,398.28
Lebanon,285.68,125.24,110.17,140.37,228.03,191.29,235.26,261.24,340.83,194.51,201.19,198.97,204.02,534.64,266.67,230.72,819.04,978.97,1068.36,580.08,445.09,475.49,711.58,621.6,820.95,974.92,1138.52
Lesotho,139.13,123.31,143.16,143.06,115.62,112.65,103.21,91.49,61.85,31.67,37.17,55.55,77,79.13,95.31,68.44,71.19,130.9,144.71,122.27,256.05,256.77,276.26,320.67,107.17,83.14,112.83
Liberia,113.74,157.63,119.6,122.33,63.4,123.1,172.67,75.69,71.99,93.95,67.42,38.48,54.99,106.78,213.39,222.09,260.9,1123.02,1250.41,510.75,1416.11,762.25,566.71,535.93,749.59,1094.43,814.99
Libya,8.34,7.49,3.28,2.87,3.95,5.84,3.77,3.98,5.55,4.7,..,..,..,..,..,23.84,37.51,19.41,74.2,40.04,7.61,641.1,87.12,128.83,210.28,157.37,179.49
"Macau, China",0.23,0.12,0.13,0.18,0.29,-4.01,0.32,0.36,0.5,0.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,396.96,455.11,361.55,361.22,288.14,299.41,354.69,837.67,484.67,362.39,324.48,374.53,373.94,545.36,1252.52,916.15,784.41,896.83,847.2,434.51,477.31,447.28,368.49,499.28,588.12,676.97,621.8
Malawi,500.36,549.57,578.04,497.34,471.14,435.14,492.54,344.1,434.68,446.78,448.15,411.1,379.74,519.57,507.42,573.65,722.87,766.67,924.74,773.71,1016.85,798.28,1170.91,1132.55,931.16,1049.38,1243.27
Malaysia,468.49,289.29,203.7,95.22,66.14,108.26,-456.6,-240.34,201.74,145.93,48.65,29.33,89.34,110.32,299.23,29.22,241.36,202.15,156.35,139.92,-6.14,40.81,18.32,-113.31,19.92,-0.6,-51.84
Maldives,20.86,32.2,36,29.34,29.72,58.08,32.44,26.28,25.05,30.73,19.15,24.77,27.46,21.34,28.05,76.57,38.27,38.09,54.54,33.25,111.66,54.29,56.73,21.7,22.54,26.83,26.93
Mali,479.17,449.68,429.69,369.96,440.15,540.41,490.17,429.33,346.82,354.39,288.04,351.74,420.48,556.23,585.3,724.59,869.2,1021.01,967.75,984.66,1091.46,1267.62,995.58,1397.56,1235.84,1204.13,1208.96
Malta,5.31,21.8,4.63,30.87,42.49,9.21,72.17,22.39,21.87,25.1,21.24,1.7,11.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Islands,..,0.28,7.68,32.25,49.36,38.88,72.94,63.01,50.41,62.98,57.23,74.01,62.49,56.66,51.28,56.77,55.11,52.19,52.49,58.95,32.63,82.32,83.85,93.74,55.7,57.06,12.34
